,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
145,Eintracht Frankfurt,Werder Bremen,18,12,7,6,0.76,0.73,0.43,0.57,13,17,29,10,0.53,0.47,4,1
146,Hannover 96,Bayer Leverkusen,8,12,5,3,0.79,0.81,0.38,0.62,5,12,21,19,0.49,0.51,3,2
147,Mainz 05,VfB Stuttgart,16,6,9,1,0.74,0.76,0.63,0.37,18,7,23,22,0.5,0.5,3,1
148,Bayern Munich,Borussia,26,5,9,1,0.86,0.72,0.52,0.48,15,10,10,20,0.66,0.34,1,1
149,Nuernberg,Fortuna,13,8,5,1,0.74,0.77,0.48,0.52,12,7,27,21,0.44,0.56,2,0
150,Schalke 04,Freiburg,16,15,4,5,0.74,0.79,0.7,0.3,10,15,24,37,0.5,0.5,1,3
151,Greuther Fuerth,Augsburg,12,7,7,5,0.73,0.73,0.44,0.56,18,4,21,15,0.48,0.52,1,1
152,Hoffenheim,Borussia,17,12,3,1,0.77,0.89,0.72,0.28,10,22,25,12,0.3,0.7,0,0
153,Fortuna,Hannover 96,10,13,5,5,0.74,0.82,0.58,0.42,6,7,21,19,0.43,0.57,2,1
154,Wolfsburg,VfB Stuttgart,8,21,2,4,0.81,0.81,0.63,0.37,14,17,31,27,0.45,0.55,2,0
155,Werder Bremen,Borussia Dortmund,8,15,3,9,0.76,0.71,0.44,0.56,11,13,28,33,0.58,0.42,0,5
156,Mainz 05,Freiburg,7,12,3,1,0.73,0.73,0.72,0.28,7,14,21,24,0.52,0.48,0,0
157,Schalke 04,Hannover 96,14,9,8,4,0.73,0.79,0.43,0.57,7,11,24,13,0.45,0.55,5,4
158,Fortuna,Augsburg,15,23,4,12,0.78,0.8,0.4,0.6,20,16,23,26,0.56,0.44,2,3
