Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
192,FC Dordrecht,FC Groningen,11,16,3,3,67,81,65,35,1,0,18,10,40,60,1,1
193,FC Groningen,Cambuur,16,11,6,2,76,74,67,33,8,3,14,26,50,50,3,2
194,Ajax,ADO Den Haag,12,9,3,3,86,71,38,62,11,8,14,31,67,33,1,0
195,Feyenoord,ADO Den Haag,12,9,5,3,83,72,51,49,7,2,16,16,55,45,2,1
196,PEC Zwolle,Cambuur,24,12,15,3,70,80,74,26,7,5,10,19,38,62,6,1
197,FC Groningen,AZ Alkmaar,16,18,3,9,67,69,33,67,5,6,19,29,47,53,2,4
198,FC Dordrecht,Ajax,16,13,8,3,77,81,63,37,4,7,21,18,47,53,2,1
199,PSV Eindhoven,Go Ahead Eagles,21,8,11,1,86,77,45,55,19,9,17,27,56,44,5,0
200,ADO Den Haag,FC Utrecht,14,11,5,4,85,78,52,48,5,6,16,16,50,50,2,0
201,Feyenoord,PSV Eindhoven,20,9,7,3,76,70,56,44,5,13,21,18,51,49,2,1
202,FC Utrecht,PEC Zwolle,20,10,3,6,79,69,52,48,6,6,19,18,57,43,0,2
203,Heracles,Vitesse,17,21,6,8,68,75,62,38,6,17,14,21,45,55,1,1
204,AZ Alkmaar,PSV Eindhoven,19,15,7,7,82,78,43,57,11,13,17,11,55,45,2,4
205,NAC Breda,FC Groningen,13,13,9,8,77,89,63,37,14,6,18,13,40,60,4,5
206,AZ Alkmaar,FC Utrecht,8,10,2,3,79,74,57,43,10,11,22,33,53,47,0,3
207,Cambuur,Excelsior,13,11,2,3,79,52,31,69,18,3,22,22,74,26,1,1
208,FC Groningen,Twente,21,10,7,5,78,61,52,48,10,4,20,22,60,40,2,2
209,ADO Den Haag,SC Heerenveen,16,9,5,3,76,76,53,47,16,17,19,26,50,50,0,1
210,Heracles,Feyenoord,9,12,3,1,61,81,48,52,12,5,21,16,36,64,2,0
211,PEC Zwolle,Feyenoord,14,14,6,1,81,79,55,45,6,8,16,15,56,44,3,0
212,Vitesse,Heracles,13,16,5,7,85,75,57,43,8,2,23,13,64,36,3,0
