Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
194,Kayseri Erciyessporspor,Gaziantepspor,15,17,6,7,55,75,53,47,6,8,21,11,39,61,2,2
195,Galatasaray,Trabzonspor,28,6,8,2,88,69,55,45,5,7,8,11,69,31,2,1
196,Osmanlispor FK,Mersin,13,10,8,4,62,67,37,63,10,6,20,28,45,55,3,1
197,Genclerbirligi,Galatasaray,10,11,2,3,76,82,68,32,5,5,28,18,41,59,1,1
198,Rizespor,Besiktas,8,16,4,10,77,85,32,68,5,6,22,11,44,56,1,2
199,Istanbul Basaksehir,Osmanlispor FK,12,14,5,6,76,71,45,55,6,12,17,19,56,44,2,3
200,Eskisehirspor,Akhisar Belediyespor,20,16,9,6,67,69,50,50,7,4,8,15,46,54,3,3
201,Antalyaspor,Bursaspor,11,7,5,1,82,79,41,59,4,4,15,11,53,47,3,0
202,Sivasspor,Kasimpasa,10,4,1,1,64,71,63,37,8,3,20,17,46,54,1,0
203,Trabzonspor,Mersin,12,12,4,3,72,79,68,32,5,8,15,12,46,54,1,0
204,Gaziantepspor,Konyaspor,8,11,1,5,82,68,53,47,12,6,15,20,60,40,0,1
205,Fenerbahce,Kayseri Erciyessporspor,24,4,11,0,84,67,60,40,9,9,33,14,64,36,1,0
206,Konyaspor,Istanbul Basaksehir,9,11,3,2,64,80,47,53,10,9,19,18,36,64,1,1
207,Bursaspor,Kasimpasa,23,15,6,4,72,69,62,38,6,11,21,23,50,50,4,1
208,Kayseri Erciyessporspor,Eskisehirspor,15,10,2,4,80,63,46,54,9,3,18,22,59,41,0,0
209,Galatasaray,Fenerbahce,3,18,1,4,70,70,44,56,6,11,14,23,52,48,0,0
210,Osmanlispor FK,Genclerbirligi,17,19,6,4,75,80,35,65,5,10,20,18,47,53,3,1
211,Mersin,Gaziantepspor,18,7,6,1,77,65,43,57,2,3,20,18,58,42,0,0
212,Besiktas,Antalyaspor,5,7,2,0,84,80,40,60,11,10,17,23,53,47,1,0
213,Akhisar Belediyespor,Rizespor,13,10,2,6,75,62,47,53,11,2,10,16,58,42,1,1
214,Trabzonspor,Sivasspor,5,16,3,6,73,80,52,48,16,7,14,13,47,53,1,0
215,Genclerbirligi,Konyaspor,12,11,4,3,79,69,51,49,6,4,11,10,53,47,0,1
216,Rizespor,Kayseri Erciyessporspor,9,17,1,3,80,73,45,55,5,7,13,14,56,44,0,0
217,Eskisehirspor,Galatasaray,13,6,7,3,80,83,47,53,10,3,10,21,43,57,4,3
218,Antalyaspor,Akhisar Belediyespor,20,11,9,4,85,73,43,57,15,8,11,15,62,38,2,2
219,Kasimpasa,Besiktas,12,10,4,4,66,82,38,62,12,13,17,15,32,68,2,1
220,Sivasspor,Bursaspor,14,13,2,6,71,69,44,56,12,2,25,20,49,51,1,2
221,Gaziantepspor,Trabzonspor,18,6,8,3,79,69,36,64,14,9,17,23,62,38,0,1
222,Istanbul Basaksehir,Mersin,8,11,4,4,74,84,37,63,4,5,19,12,37,63,3,0
223,Fenerbahce,Osmanlispor FK,19,8,2,0,79,61,61,39,15,14,21,18,63,37,0,0
224,Antalyaspor,Genclerbirligi,16,10,9,3,80,64,47,53,8,4,12,19,62,38,3,1
225,Kayseri Erciyessporspor,Konyaspor,8,6,2,2,81,81,54,46,4,7,16,14,46,54,1,1
226,Akhisar Belediyespor,Mersin,12,10,4,3,70,80,57,43,3,4,16,10,40,60,2,0
227,Besiktas,Trabzonspor,11,15,3,7,86,80,25,75,7,6,17,26,56,44,1,2
228,Kasimpasa,Istanbul Basaksehir,7,8,2,1,65,71,47,53,2,9,25,25,46,54,1,0
229,Rizespor,Fenerbahce,12,13,5,4,67,79,36,64,3,10,18,21,46,54,1,1
230,Eskisehirspor,Sivasspor,11,18,6,11,75,82,32,68,7,13,23,16,40,60,4,2
231,Bursaspor,Gaziantepspor,12,15,4,3,79,70,50,50,6,5,27,17,60,40,0,1
232,Galatasaray,Osmanlispor FK,27,9,7,5,85,69,46,54,11,12,22,12,68,32,1,2
233,Kasimpasa,Rizespor,23,7,6,3,88,74,47,53,10,8,17,21,60,40,1,1
234,Antalyaspor,Sivasspor,14,15,5,5,71,76,55,45,8,8,21,25,51,49,1,1
235,Galatasaray,Gaziantepspor,21,15,11,4,81,73,59,41,15,9,24,17,59,41,2,1
236,Akhisar Belediyespor,Genclerbirligi,15,11,7,1,83,75,44,56,8,6,18,15,57,43,1,0
237,Besiktas,Fenerbahce,7,12,2,3,73,83,62,38,4,16,17,18,44,56,3,2
238,Bursaspor,Eskisehirspor,17,8,4,3,81,58,64,36,7,3,19,21,66,34,2,0
239,Konyaspor,Mersin,19,7,4,2,76,76,41,59,4,8,24,19,48,52,2,0
240,Osmanlispor FK,Trabzonspor,9,15,4,3,68,86,50,50,9,3,16,11,31,69,3,1
241,Kayseri Erciyessporspor,Istanbul Basaksehir,14,11,4,3,77,73,77,23,8,6,13,20,53,47,0,1
242,Galatasaray,Genclerbirligi,23,12,14,3,88,71,60,40,9,5,14,16,67,33,4,1
243,Besiktas,Rizespor,17,7,5,4,87,74,63,37,8,7,16,20,66,34,1,0
244,Osmanlispor FK,Istanbul Basaksehir,12,12,7,5,70,72,54,46,4,17,19,19,47,53,0,3
245,Akhisar Belediyespor,Eskisehirspor,6,11,2,0,74,76,44,56,4,5,18,14,50,50,1,0
246,Bursaspor,Antalyaspor,21,10,3,4,81,78,57,43,11,5,17,13,54,46,0,2
247,Kasimpasa,Sivasspor,19,10,7,4,71,74,74,26,7,6,19,18,46,54,2,1
248,Mersin,Trabzonspor,8,21,4,7,64,83,64,36,4,7,11,12,38,62,3,2
249,Konyaspor,Gaziantepspor,14,4,7,2,80,74,69,31,4,6,26,16,54,46,2,1
250,Kayseri Erciyessporspor,Fenerbahce,15,5,2,2,75,77,21,79,6,7,15,22,53,47,0,1
251,Istanbul Basaksehir,Konyaspor,7,2,4,0,74,71,42,58,14,4,12,25,48,52,4,0
252,Kasimpasa,Bursaspor,18,13,6,4,73,69,50,50,10,5,12,12,47,53,0,1
253,Eskisehirspor,Kayseri Erciyessporspor,14,15,4,10,83,72,57,43,8,8,24,13,62,38,1,3
254,Fenerbahce,Galatasaray,16,9,6,3,70,77,68,32,7,4,23,11,44,56,1,1
255,Genclerbirligi,Osmanlispor FK,8,19,3,4,70,70,41,59,5,6,16,15,43,57,1,0
256,Gaziantepspor,Mersin,10,14,4,6,81,71,40,60,13,5,17,19,58,42,1,0
257,Antalyaspor,Besiktas,12,14,6,10,81,83,40,60,4,6,21,23,45,55,1,5
