,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
154,Trabzonspor,Eskisehirspor,10,14,3,6,80,63,30,70,2,4,14,13,66,34,1,4
155,Fenerbahce,Galatasaray,22,10,4,4,77,71,71,29,10,6,12,20,55,45,1,0
156,Kasimpasa,Istanbul Basaksehir,5,15,1,1,76,79,69,31,3,6,15,10,48,52,0,1
157,Besiktas,Bursaspor,10,11,7,4,79,66,38,62,7,3,20,21,55,45,3,2
158,Kasimpasa,Sivasspor,12,4,5,1,76,62,41,59,12,2,22,28,56,44,0,0
159,Istanbul Basaksehir,Konyaspor,17,7,5,3,69,60,57,43,12,1,21,21,57,43,0,0
160,Trabzonspor,Kayseri Erciyesspor,15,11,7,2,76,73,44,56,1,6,21,13,54,46,2,1
161,Karabukspor,Kasimpasa,10,13,4,3,74,71,36,64,7,5,23,14,56,44,0,0
162,Genclerbirligi,Galatasaray,11,11,4,5,76,76,35,65,8,5,21,19,50,50,1,1
163,Kasimpasa,Akhisar Belediyespor,13,15,6,2,69,85,48,52,4,3,19,22,29,71,2,2
164,Gaziantepspor,Sivasspor,10,20,3,12,76,83,37,63,1,7,17,22,41,59,1,3
165,Genclerbirligi,Eskisehirspor,14,11,5,5,66,71,50,50,9,4,19,20,52,48,1,2
166,Sivasspor,Karabukspor,8,14,2,4,70,74,52,48,2,4,13,25,44,56,2,0
167,Eskisehirspor,Bursaspor,10,5,1,0,62,66,47,53,3,6,17,20,48,52,0,0
168,Karabukspor,Fenerbahce,12,12,5,6,75,77,50,50,4,5,16,16,48,52,1,2
169,Kayseri Erciyesspor,Konyaspor,16,10,8,2,80,82,48,52,12,4,12,16,43,57,3,0
170,Bursaspor,Akhisar Belediyespor,18,10,9,3,75,75,55,45,9,3,24,20,50,50,3,1
171,Balikesirspor,Rizespor,12,21,4,9,59,72,50,50,12,11,14,24,39,61,2,2
172,Akhisar Belediyespor,Balikesirspor,19,11,6,3,82,75,74,26,2,8,21,13,59,41,2,2
173,Istanbul Basaksehir,Gaziantepspor,14,5,5,1,64,67,66,34,5,4,16,23,43,57,1,0
174,Mersin,Genclerbirligi,16,7,4,4,78,67,68,32,6,6,22,19,58,42,1,1
175,Kayseri Erciyesspor,Genclerbirligi,8,13,3,6,77,81,55,45,9,4,14,21,49,51,2,4
176,Konyaspor,Eskisehirspor,9,7,1,3,70,78,52,48,4,5,30,20,44,56,1,0
177,Bursaspor,Rizespor,16,14,6,5,76,72,36,64,7,6,17,16,56,44,1,1
178,Besiktas,Galatasaray,9,13,2,5,75,81,70,30,19,6,19,17,49,51,0,2
179,Galatasaray,Istanbul Basaksehir,14,15,5,6,81,75,45,55,7,6,19,18,59,41,2,2
180,Galatasaray,Bursaspor,16,20,5,7,77,63,43,57,8,5,14,19,63,37,2,2
181,Sivasspor,Galatasaray,12,12,6,5,80,78,44,56,7,6,18,26,51,49,2,3
182,Fenerbahce,Istanbul Basaksehir,18,12,7,1,81,75,48,52,12,7,20,15,57,43,2,0
183,Rizespor,Sivasspor,23,18,10,7,69,80,49,51,3,6,25,8,40,60,2,1
184,Genclerbirligi,Rizespor,8,10,4,3,71,83,54,46,4,3,11,18,39,61,0,2
185,Fenerbahce,Akhisar Belediyespor,23,11,4,7,83,64,59,41,4,4,13,17,65,35,1,2
186,Kayseri Erciyesspor,Kasimpasa,11,19,3,7,65,71,52,48,3,5,14,20,52,48,2,5
187,Gaziantepspor,Trabzonspor,4,13,3,4,59,74,64,36,2,3,12,25,40,60,2,0
188,Besiktas,Mersin,19,7,8,5,76,71,68,32,5,8,18,14,56,44,2,1
189,Kasimpasa,Trabzonspor,15,10,4,3,79,82,61,39,9,4,15,18,48,52,1,1
190,Balikesirspor,Trabzonspor,8,25,2,5,58,83,46,54,8,7,19,17,34,66,2,2
191,Genclerbirligi,Fenerbahce,9,23,4,7,75,83,52,48,3,6,15,11,44,56,2,1
192,Fenerbahce,Trabzonspor,34,6,10,3,81,63,61,39,6,3,18,13,64,36,0,0
193,Mersin,Karabukspor,9,15,3,3,72,66,71,29,6,6,18,17,55,45,2,1
194,Eskisehirspor,Gaziantepspor,17,10,5,4,80,70,36,64,4,4,12,10,55,45,1,3
195,Besiktas,Kayseri Erciyesspor,16,7,5,1,81,79,44,56,4,4,19,13,52,48,5,1
196,Bursaspor,Genclerbirligi,23,9,6,2,81,61,56,44,5,2,22,22,66,34,3,1
197,Balikesirspor,Genclerbirligi,13,15,5,4,64,76,44,56,7,1,15,16,47,53,0,1
198,Rizespor,Konyaspor,7,15,2,6,68,77,41,59,4,2,20,21,40,60,1,1
199,Bursaspor,Balikesirspor,28,6,12,3,83,63,50,50,7,10,10,15,63,37,4,2
200,Eskisehirspor,Galatasaray,19,11,5,5,76,74,63,37,11,8,17,26,49,51,1,2
201,Eskisehirspor,Besiktas,12,14,7,4,55,82,53,47,8,7,19,16,27,73,1,0
202,Akhisar Belediyespor,Karabukspor,13,17,5,5,76,86,50,50,4,8,24,15,39,61,5,1
203,Balikesirspor,Konyaspor,9,12,0,3,73,77,52,48,7,5,17,20,45,55,0,1
204,Akhisar Belediyespor,Istanbul Basaksehir,6,7,3,2,77,69,58,42,4,4,15,15,58,42,0,2
205,Kayseri Erciyesspor,Gaziantepspor,9,7,3,2,72,63,59,41,15,9,22,21,54,46,0,1
206,Trabzonspor,Karabukspor,13,20,4,8,74,74,75,25,6,14,17,19,53,47,3,2
207,Istanbul Basaksehir,Karabukspor,12,13,2,4,72,67,61,39,3,3,18,13,55,45,2,2
208,Gaziantepspor,Kasimpasa,15,14,4,11,78,56,39,61,2,3,19,12,65,35,0,2
209,Fenerbahce,Rizespor,29,1,11,0,85,64,53,47,12,4,18,15,69,31,2,1
210,Kasimpasa,Rizespor,21,7,9,1,78,74,62,38,10,0,15,15,57,43,3,1
211,Trabzonspor,Gaziantepspor,18,8,6,6,73,58,58,42,7,2,11,28,57,43,4,4
212,Sivasspor,Eskisehirspor,7,16,4,2,80,72,71,29,5,8,10,20,54,46,1,1
213,Konyaspor,Kayseri Erciyesspor,11,10,3,2,76,73,45,55,2,4,16,13,54,46,1,1
214,Akhisar Belediyespor,Fenerbahce,12,22,6,8,76,82,62,38,6,7,10,18,37,63,2,0
215,Balikesirspor,Fenerbahce,4,9,0,3,64,79,50,50,7,1,10,17,40,60,0,1
216,Fenerbahce,Genclerbirligi,22,5,7,1,85,66,61,39,5,6,20,17,67,33,2,1
217,Trabzonspor,Konyaspor,14,15,6,4,80,75,43,57,12,0,9,20,52,48,3,2
218,Gaziantepspor,Istanbul Basaksehir,9,9,1,3,75,71,25,75,8,6,14,13,54,46,0,0
219,Trabzonspor,Kasimpasa,8,14,3,8,69,74,38,62,8,18,28,15,41,59,1,1
220,Bursaspor,Kasimpasa,15,15,8,7,81,79,50,50,9,8,25,17,58,42,5,1
221,Kayseri Erciyesspor,Besiktas,13,18,8,5,85,85,54,46,12,7,20,16,48,52,3,2
222,Karabukspor,Galatasaray,10,11,2,7,81,75,67,33,5,3,15,11,54,46,1,2
223,Rizespor,Bursaspor,11,11,2,2,75,78,38,62,3,1,17,11,54,46,0,1
224,Karabukspor,Mersin,13,9,1,5,81,74,32,68,8,10,15,14,55,45,0,2
225,Genclerbirligi,Gaziantepspor,9,12,4,2,79,74,64,36,4,1,15,22,51,49,2,0
226,Balikesirspor,Bursaspor,12,19,4,8,76,87,50,50,15,4,14,19,39,61,0,5
227,Mersin,Balikesirspor,19,12,5,5,79,74,65,35,6,7,15,20,48,52,2,1
228,Galatasaray,Sivasspor,13,15,5,5,82,82,60,40,5,8,10,17,50,50,2,1
229,Genclerbirligi,Balikesirspor,13,16,3,5,81,77,56,44,4,3,20,18,55,45,3,1
230,Besiktas,Trabzonspor,11,5,6,1,67,76,44,56,2,7,28,15,40,60,3,0
231,Karabukspor,Akhisar Belediyespor,15,5,3,1,84,61,55,45,10,5,18,21,64,36,2,1
232,Bursaspor,Fenerbahce,16,14,7,3,70,79,33,67,8,6,29,24,42,58,1,1
233,Besiktas,Eskisehirspor,13,10,4,3,82,77,37,63,6,8,19,14,57,43,1,1
234,Galatasaray,Akhisar Belediyespor,20,6,3,2,81,75,56,42,12,4,21,20,58,42,2,1
235,Kasimpasa,Konyaspor,26,10,9,2,70,74,33,67,10,5,16,17,46,54,2,0
236,Genclerbirligi,Karabukspor,9,6,7,4,79,77,56,47,5,2,14,20,46,54,2,2
